Activity Type,Age,Country,Gender,Month,Number of Records,Shark Species,Year,Is Fatal,Is Provoked
Swimming & Diving,48,AUSTRALIA,Male,Jun,1,Great White Shark,2017,0,Unprovoked
Swimming & Diving,,AUSTRALIA,Female,Jun,1,Others,2017,0,Unprovoked
Swimming & Diving,19,USA,Male,Jun,1,Others,2017,0,Unprovoked
Swimming & Diving,30,UNITED KINGDOM,Male,Jun,1,Others,2017,0,Unprovoked
Fishing,,USA,Male,Jun,1,Others,2017,0,Unprovoked
Swimming & Diving,32,BAHAMAS,Female,Jun,1,Tiger Shark,2017,0,Unprovoked
Fishing,20,USA,Female,May,1,Others,2017,0,Provoked
Fishing,,USA,Male,May,1,Tiger Shark,2017,0,Unprovoked
Fishing,73,AUSTRALIA,Male,May,1,Others,2017,0,
Fishing,41,UNITED ARAB EMIRATES,Male,May,1,Others,2017,0,Unprovoked
Fishing,29,AUSTRALIA,Male,May,1,Others,2017,0,Provoked
Swimming & Diving,33,MEXICO,Male,May,1,Others,2017,1,Unprovoked
Swimming & Diving,18,USA,Female,May,1,Unknown,2017,0,Invalid
Others,,USA,Female,Apr,1,Others,2017,0,Unprovoked
Swimming & Diving,14,SOUTH AFRICA,Male,Apr,1,Others,2017,0,Unprovoked
Swimming & Diving,33,USA,Female,Apr,1,Others,2017,0,Unprovoked
Swimming & Diving,28,REUNION,Male,Apr,1,Others,2017,1,Unprovoked
Swimming & Diving,,NEW ZEALAND,Female,Apr,1,Others,2017,0,Unprovoked
Others,,USA,Female,Apr,1,Unknown,2017,0,Invalid
Swimming & Diving,40,"ST HELENA, British overseas territory",Female,Apr,1,Others,2017,0,Unprovoked
Swimming & Diving,,USA,Male,Apr,1,Unknown,2017,0,Invalid
Others,,USA,Unknown,Apr,1,Others,2017,0,Unprovoked
Swimming & Diving,17,AUSTRALIA,Female,Apr,1,Great White Shark,2017,1,Unprovoked
Swimming & Diving,28,USA,Male,Apr,1,Tiger Shark,2017,0,Unprovoked
Swimming & Diving,17,USA,Male,Apr,1,Others,2017,0,Unprovoked
Swimming & Diving,,USA,Female,Apr,1,Others,2017,0,Unprovoked
Swimming & Diving,68,SOUTH AFRICA,Male,Apr,1,Others,2017,0,Invalid
Swimming & Diving,35,USA,Female,Apr,1,Others,2017,0,Unprovoked
Swimming & Diving,10,USA,Female,Apr,1,Others,2017,0,Unprovoked
Swimming & Diving,21,USA,Female,Apr,1,Others,2017,0,Unprovoked
Swimming & Diving,16,USA,Male,Apr,1,Others,2017,0,Unprovoked
Swimming & Diving,51,USA,Female,Apr,1,Others,2017,0,Unprovoked
Boating,39,AUSTRALIA,Male,Apr,1,Others,2017,0,Unprovoked
Swimming & Diving,17,USA,Female,Apr,1,Others,2017,0,Unprovoked
Swimming & Diving,58,USA,Male,Mar,1,Others,2017,0,Unprovoked
Swimming & Diving,30,AUSTRALIA,Male,Mar,1,Others,2017,0,Unprovoked
Boating,,USA,Male,Mar,1,Great White Shark,2017,0,Unprovoked
Wading,58,BAHAMAS,Male,Mar,1,Lemon Shark,2017,0,Unprovoked
Swimming & Diving,,AUSTRALIA,Female,Feb,1,Bull Shark,2017,0,Unprovoked
Swimming & Diving,,AUSTRALIA,Male,Feb,1,Others,2017,0,Unprovoked
Swimming & Diving,26,REUNION,Male,Feb,1,Others,2017,1,Unprovoked
Fishing,26,AUSTRALIA,Male,Feb,1,Others,2017,0,Unprovoked
Swimming & Diving,22,USA,Male,Feb,1,Others,2017,0,Unprovoked
Fishing,,BRAZIL,Female,Feb,1,Lemon Shark,2017,0,Provoked
Fishing,,SOUTH AFRICA,Male,Feb,1,Tiger Shark,2017,0,Boat
Fishing,,USA,Unknown,Feb,1,Great White Shark,2017,0,Boat
Swimming & Diving,37,BAHAMAS,Male,Feb,1,Reef Shark,2017,0,Unprovoked
Others,,USA,Male,Jan,1,Others,2017,0,Unprovoked
Swimming & Diving,55,AUSTRALIA,Male,Jan,1,Great White Shark,2017,0,Unprovoked
Swimming & Diving,57,AUSTRALIA,Male,Jan,1,Others,2017,0,Unprovoked
Others,,USA,Male,Jan,1,Others,2017,0,Unprovoked
Swimming & Diving,48,INDONESIA,Male,Jan,1,Bull Shark,2017,0,Unprovoked
Fishing,35,AUSTRALIA,Male,Jan,1,Bull Shark,,0,Invalid
Wading,47,USA,Male,Jan,1,Others,2017,0,Unprovoked
Wading,20,AUSTRALIA,Male,Jan,1,Others,2017,0,Invalid
Swimming & Diving,16,USA,Male,Dec,1,Others,2016,0,Unprovoked
Swimming & Diving,,AUSTRALIA,Female,Dec,1,Others,2016,0,Unprovoked
Boating,55,SOUTH AFRICA,Male,Dec,1,Great White Shark,2016,0,Unprovoked
Swimming & Diving,61,AUSTRALIA,Male,Dec,1,Others,2016,0,Unprovoked
Swimming & Diving,19,USA,Male,Dec,1,Others,2016,0,Invalid
Swimming & Diving,36,England,Male,Dec,1,Others,2016,0,Unprovoked
Fishing,20,AUSTRALIA,Male,Dec,1,Wobbegong,2016,0,Provoked
Swimming & Diving,65,AUSTRALIA,Male,Dec,1,Great White Shark,2016,0,Unprovoked
Fishing,73,AUSTRALIA,Male,Nov,1,Great White Shark,2016,0,Provoked
Swimming & Diving,58,USA,Female,Nov,1,Tiger Shark,2016,0,Unprovoked
Swimming & Diving,41,USA,Male,Oct,1,Others,2016,0,Unprovoked
Swimming & Diving,42,USA,Male,Oct,1,Others,2016,0,Unprovoked
Swimming & Diving,36,AUSTRALIA,Male,Oct,1,Others,2016,0,Unprovoked
Swimming & Diving,36,USA,Male,Oct,1,Others,2016,0,Unprovoked
Swimming & Diving,,AUSTRALIA,Male,Oct,1,Others,2016,0,Unprovoked
Swimming & Diving,66,USA,Female,Oct,1,Others,2016,0,Unprovoked
Swimming & Diving,,MEXICO,Male,Oct,1,Great White Shark,2016,0,Invalid
Swimming & Diving,25,AUSTRALIA,Male,Oct,1,Others,2016,0,Unprovoked
Swimming & Diving,29,USA,Male,Oct,1,Others,2016,0,Unprovoked
Swimming & Diving,21,USA,Male,Oct,1,Others,2016,0,Unprovoked
Boating,32,USA,Male,Oct,1,Others,2016,0,Unprovoked
Swimming & Diving,17,AUSTRALIA,Male,Sep,1,Great White Shark,2016,0,Unprovoked
Swimming & Diving,16,USA,Male,Sep,1,Others,2016,0,Unprovoked
Swimming & Diving,36,USA,Male,Sep,1,Others,2016,0,Unprovoked
Swimming & Diving,43,USA,Male,Sep,1,Others,2016,0,Unprovoked
Swimming & Diving,43,USA,Male,Sep,1,Others,2016,0,Unprovoked
Swimming & Diving,,AUSTRALIA,Male,Sep,1,Others,2016,0,Unprovoked
Swimming & Diving,,AUSTRALIA,Male,Sep,1,Others,2016,0,Unprovoked
Fishing,,AUSTRALIA,Unknown,Sep,1,Others,2016,0,Boat
Wading,,USA,Male,Sep,1,Others,2016,0,Unprovoked
Swimming & Diving,51,USA,Female,Sep,1,Tiger Shark,2016,0,Unprovoked
Swimming & Diving,50,NEW CALEDONIA,Male,Sep,1,Others,2016,1,Unprovoked
Swimming & Diving,12,USA,Female,Sep,1,Others,2016,0,Unprovoked
Swimming & Diving,,AUSTRALIA,Male,Sep,1,Others,2016,0,Unprovoked
Swimming & Diving,9,USA,Male,Sep,1,Others,2016,0,Unprovoked
Fishing,22,USA,Male,Sep,1,Great White Shark,2016,0,Unprovoked
Swimming & Diving,,MEXICO,Unknown,Sep,1,Great White Shark,2016,0,Invalid
Swimming & Diving,25,USA,Male,Aug,1,Bull Shark,2016,0,Unprovoked
Swimming & Diving,37,USA,Male,Aug,1,Others,2016,0,Unprovoked
Swimming & Diving,20,REUNION,Male,Aug,1,Great White Shark,2016,0,Unprovoked
Wading,49,USA,Male,Aug,1,Others,2016,0,Unprovoked
Swimming & Diving,15,BAHAMAS,Male,Aug,1,Others,2016,0,Unprovoked
Swimming & Diving,21,USA,Male,Aug,1,Tiger Shark,2016,0,Unprovoked
Swimming & Diving,22,USA,Male,Aug,1,Blacktip Shark,2016,0,Unprovoked
Swimming & Diving,40,SPAIN,Male,Jul,1,Blue Shark,2016,0,Unprovoked
Swimming & Diving,72,CHINA,Male,Jul,1,Others,2016,0,Unprovoked
Boating,,AUSTRALIA,Male,Jul,1,Great White Shark,2016,0,Boat
Fishing,43,USA,Male,Jul,1,Nurse Shark,2016,0,Provoked
Swimming & Diving,18,AUSTRALIA,Male,Jul,1,Others,2016,0,Unprovoked
Swimming & Diving,29,JAPAN,Male,Jul,1,Others,2016,0,Unprovoked
Swimming & Diving,36,AUSTRALIA,Male,Jul,1,Others,2016,0,Unprovoked
Fishing,,BAHAMAS,Male,Jul,1,Bull Shark,2016,0,Unprovoked
Fishing,31,AUSTRALIA,Male,Jul,1,Reef Shark,2016,0,Provoked
Fishing,,USA,Unknown,Jul,1,Tiger Shark,2016,0,Boat
Swimming & Diving,9,USA,Female,Jul,1,Others,2016,0,Unprovoked
Others,11,USA,Female,Jul,1,Others,2016,0,Unprovoked
Swimming & Diving,61,USA,Male,Jul,1,Great White Shark,2016,0,Unprovoked
Swimming & Diving,,USA,Male,Jul,1,Others,2016,0,Unprovoked
Swimming & Diving,,BAHAMAS,Male,Jul,1,Lemon Shark,2016,0,Unprovoked
Wading,10,SPAIN,Female,Jul,1,Wobbegong,2016,0,Unprovoked
Fishing,,USA,Male,Jul,1,Great White Shark,2016,0,Boat
Fishing,59,USA,Male,Jul,1,Others,2016,0,Provoked
Fishing,,USA,Male,Jul,1,Great White Shark,2016,0,Boat
Swimming & Diving,42,USA,Female,Jul,1,Others,2016,0,Unprovoked
Fishing,34,AUSTRALIA,Male,Jul,1,Nurse Shark,2016,0,Provoked
Others,35,USA,Male,Jun,1,Others,2016,0,Unprovoked
Swimming & Diving,11,USA,Male,Jun,1,Others,2016,0,Unprovoked
Swimming & Diving,59,COLUMBIA,Male,Jun,1,Great White Shark,2016,0,Unprovoked
Fishing,43,SOUTH AFRICA,Male,Jun,1,Great White Shark,2016,0,Unprovoked
Swimming & Diving,42,USA,Male,Jun,1,Others,2016,0,Unprovoked
Wading,,USA,Male,Jun,1,Others,2016,0,Unprovoked
Swimming & Diving,,USA,Male,Jun,1,Others,2016,0,Unprovoked
Fishing,19,AUSTRALIA,Male,Jun,1,Others,2016,0,Provoked
Swimming & Diving,6,USA,Female,Jun,1,Others,2016,0,Unprovoked
Wading,19,USA,Male,Jun,1,Others,2016,0,Unprovoked
Swimming & Diving,27,USA,Male,Jun,1,Others,2016,0,Invalid
Swimming & Diving,64,USA,Male,Jun,1,Others,2016,0,Unprovoked
Swimming & Diving,60,AUSTRALIA,Female,Jun,1,Others,2016,1,Unprovoked
Swimming & Diving,23,EGYPT,Male,Jun,1,Shortfin Mako,2016,0,Unprovoked
Fishing,,AUSTRALIA,Male,Jun,1,Bronze Whaler Shark,2016,0,Unprovoked
Swimming & Diving,,NEW CALEDONIA,Male,Jun,1,Others,2016,0,Unprovoked
Swimming & Diving,29,AUSTRALIA,Male,May,1,Great White Shark,2016,1,Unprovoked
Swimming & Diving,52,USA,Female,May,1,Others,2016,0,Unprovoked
Swimming & Diving,13,USA,Male,May,1,Others,2016,0,Unprovoked
Swimming & Diving,57,USA,Female,May,1,Others,2016,0,Unprovoked
Swimming & Diving,22,USA,Female,May,1,Bull Shark,2016,0,Unprovoked
Swimming & Diving,11,USA,Female,May,1,Others,2016,0,Unprovoked
Swimming & Diving,48,USA,Male,May,1,Blacktip Shark,2016,0,Unprovoked
Fishing,23,USA,Female,May,1,Nurse Shark,2016,0,Provoked
Swimming & Diving,59,USA,Male,May,1,Others,2016,0,Unprovoked
Fishing,39,NEW ZEALAND,Male,May,1,Great White Shark,2016,0,Provoked
Swimming & Diving,24,INDONESIA,Male,Apr,1,Bull Shark,2016,0,Unprovoked
Swimming & Diving,15,USA,Male,Apr,1,Others,2016,0,Unprovoked
Boating,,SOUTH AFRICA,Male,Apr,1,Great White Shark,2016,0,Unprovoked
Swimming & Diving,12,AUSTRALIA,Male,Apr,1,Wobbegong,2016,0,Unprovoked
Fishing,26,FRENCH POLYNESIA,Male,Apr,1,Reef Shark,2016,0,Provoked
Fishing,26,USA,Male,Apr,1,Bull Shark,2016,0,Unprovoked
Wading,69,NEW CALEDONIA,Female,Apr,1,Great White Shark,2016,1,Unprovoked
Others,60,CAPE VERDE,Male,Apr,1,Unknown,2016,0,Invalid
Fishing,34,USA,Male,Apr,1,Others,2016,0,Unprovoked
Others,,USA,Male,Apr,1,Others,2016,0,Invalid
Swimming & Diving,46,USA,Female,Mar,1,Others,2016,0,Unprovoked
Swimming & Diving,22,AUSTRALIA,Male,Mar,1,Others,2016,0,Unprovoked
Others,,USA,Male,Mar,1,Unknown,2016,0,Unprovoked
Swimming & Diving,41,AUSTRALIA,Male,Mar,1,Others,2016,0,Unprovoked
Others,9,BAHAMAS,Male,Mar,1,Nurse Shark,2016,0,Provoked
Swimming & Diving,,USA,Unknown,Mar,1,Unknown,2016,0,Invalid
Swimming & Diving,19,USA,Male,Mar,1,Others,2016,0,Unprovoked
Swimming & Diving,45,Fiji,Male,Mar,1,Others,2016,1,Unprovoked
Others,12,USA,Male,Mar,1,Others,2016,0,Unprovoked
Fishing,,AUSTRALIA,Male,Mar,1,Bronze Whaler Shark,2016,0,Unprovoked
Swimming & Diving,41,BRAZIL,Male,Mar,1,Tiger Shark,2016,0,Unprovoked
Swimming & Diving,21,NEW CALEDONIA,Male,Feb,1,Others,2016,0,Unprovoked
Fishing,31,NEW CALEDONIA,Male,Feb,1,Others,2016,0,Unprovoked
Wading,,DOMINICAN REPUBLIC,Female,Feb,1,Others,2016,0,Unprovoked
Wading,65,CAYMAN ISLANDS,Male,Feb,1,Unknown,2016,0,Invalid
Swimming & Diving,,AUSTRALIA,Male,Feb,1,Unknown,2016,0,Invalid
Wading,45,AUSTRALIA,Female,Feb,1,Others,2016,0,Unprovoked
Swimming & Diving,40,AUSTRALIA,Male,Feb,1,Others,2016,0,Unprovoked
Fishing,,SOUTH AFRICA,Male,Jan,1,Others,2016,0,Boat
Swimming & Diving,,USA,Male,Jan,1,Reef Shark,2016,0,Unprovoked
Swimming & Diving,15,USA,Female,Jan,1,Others,2016,0,Unprovoked
Fishing,,USA,Male,Jan,1,Bull Shark,2016,0,Unprovoked
Fishing,,UNITED ARAB EMIRATES,Male,Jan,1,Shortfin Mako,2016,0,Boat
Swimming & Diving,48,USA,Male,Jan,1,Tiger Shark,2016,0,Unprovoked
Swimming & Diving,,AUSTRALIA,Male,Jan,1,Wobbegong,2016,0,Unprovoked
Wading,11,AUSTRALIA,Male,Jan,1,Blacktip Shark,2016,0,Unprovoked
Fishing,31,AUSTRALIA,Male,Jan,1,Others,2016,0,Unprovoked
Fishing,,SOUTH AFRICA,Male,Dec,1,Great White Shark,2015,0,Boat
Swimming & Diving,38,SPAIN,Female,Dec,1,Bronze Whaler Shark,2015,0,Unprovoked
Swimming & Diving,71,USA,Male,Dec,1,Others,2015,0,Unprovoked
Swimming & Diving,43,AUSTRALIA,Male,Dec,1,Bronze Whaler Shark,2015,0,Unprovoked
Swimming & Diving,32,BRAZIL,Male,Dec,1,Great White Shark,2015,0,Unprovoked
Air/Sea Disaster,58,ARUBA,Male,Dec,1,Others,2015,1,Unprovoked
Fishing,,AUSTRALIA,Unknown,Dec,1,Great White Shark,2015,0,Boat
Fishing,26,BAHAMAS,Male,Dec,1,Bull Shark,2015,0,Unprovoked
Swimming & Diving,22,SOUTH AFRICA,Female,Dec,1,Others,2015,0,Unprovoked
Swimming & Diving,55,ECUADOR,Male,Nov,1,Reef Shark,2015,0,Unprovoked
Swimming & Diving,,USA,Female,Nov,1,Others,2015,0,Unprovoked
Swimming & Diving,28,USA,Male,Nov,1,Blacktip Shark,2015,0,Unprovoked
Swimming & Diving,20,AUSTRALIA,Male,Nov,1,Bull Shark,2015,0,Unprovoked
Swimming & Diving,9,USA,Female,Nov,1,Unknown,2015,0,Invalid
Swimming & Diving,54,USA,Male,Nov,1,Others,2015,0,Unprovoked
Wading,28,USA,Female,Nov,1,Others,2015,0,Unprovoked
Fishing,19,MOZAMBIQUE,Male,Nov,1,Others,2015,0,Unprovoked
Fishing,50,AUSTRALIA,Male,Oct,1,Others,2015,0,Unprovoked
Swimming & Diving,10,USA,Male,Oct,1,Others,2015,0,Unprovoked
Swimming & Diving,42,SOUTH AFRICA,Male,Oct,1,Great White Shark,2015,0,Unprovoked
Swimming & Diving,21,USA,Male,Oct,1,Others,2015,0,Unprovoked
Swimming & Diving,21,USA,Male,Oct,1,Blacktip Shark,2015,0,Unprovoked
Fishing,35,MOZAMBIQUE,Female,Oct,1,Others,2015,1,Unprovoked
Swimming & Diving,32,USA,Male,Oct,1,Unknown,2015,0,Invalid
Swimming & Diving,44,USA,Male,Oct,1,Tiger Shark,2015,0,Unprovoked
Fishing,,USA,Male,Oct,1,Hammerhead Shark,2015,0,Boat
Swimming & Diving,9,USA,Female,Oct,1,Others,2015,0,Unprovoked
Swimming & Diving,25,USA,Male,Oct,1,Tiger Shark,2015,0,Unprovoked
Fishing,,MOZAMBIQUE,Male,Oct,1,Others,2015,0,Unprovoked
Swimming & Diving,18,AUSTRALIA,Male,Oct,1,Others,2015,0,Unprovoked
Swimming & Diving,22,USA,Male,Oct,1,Others,2015,0,Unprovoked
Wading,13,USA,Male,Oct,1,Others,2015,0,Unprovoked
Swimming & Diving,14,USA,Male,Oct,1,Blacktip Shark,2015,0,Unprovoked
Swimming & Diving,22,USA,Male,Sep,1,Blacktip Shark,2015,0,Unprovoked
Swimming & Diving,7,AUSTRALIA,Female,Sep,1,Others,2015,0,Unprovoked
Fishing,,USA,Male,Sep,1,Great White Shark,2015,0,Unprovoked
Swimming & Diving,14,USA,Male,Sep,1,Others,2015,0,Unprovoked
Fishing,27,USA,Male,Sep,1,Tiger Shark,2015,0,Unprovoked
Wading,12,USA,Male,Sep,1,Others,2015,0,Unprovoked
Fishing,16,USA,Male,Sep,1,Others,2015,0,Unprovoked
Swimming & Diving,,USA,Male,Sep,1,Others,2015,0,Unprovoked
Swimming & Diving,20,USA,Male,Sep,1,Others,2015,0,Unprovoked
Swimming & Diving,42,AUSTRALIA,Male,Sep,1,Others,2015,0,Unprovoked
Swimming & Diving,50,USA,Female,Sep,1,Great White Shark,2015,0,Unprovoked
Fishing,29,USA,Male,Sep,1,Hammerhead Shark,2015,0,Provoked
Boating,62,AUSTRALIA,Male,Sep,1,Great White Shark,2015,0,Unprovoked
Others,,USA,Male,Sep,1,Others,2015,0,Unprovoked
Wading,37,THAILAND,Female,Sep,1,Others,2015,0,Unprovoked
Fishing,,FIJI,Male,Sep,1,Tiger Shark,2015,0,Unprovoked
Swimming & Diving,54,USA,Female,Aug,1,Great White Shark,2015,0,Unprovoked
Swimming & Diving,21,USA,Male,Aug,1,Great White Shark,2015,0,Unprovoked
Others,,USA,Male,Aug,1,Unknown,2015,0,Invalid
Swimming & Diving,38,AUSTRALIA,Male,Aug,1,Others,2015,0,Unprovoked
Swimming & Diving,15,USA,Male,Aug,1,Others,2015,0,Unprovoked
Wading,10,USA,Female,Aug,1,Others,2015,0,Unprovoked
Fishing,22,USA,Male,Aug,1,Great White Shark,2015,0,Unprovoked
Swimming & Diving,10,SPAIN,Male,Aug,1,Unknown,2015,0,Invalid
Fishing,57,USA,Male,Aug,1,Hammerhead Shark,2015,0,Provoked
Swimming & Diving,52,AUSTRALIA,Male,Jul,1,Great White Shark,2015,0,Unprovoked
Swimming & Diving,40,AUSTRALIA,Male,Jul,1,Others,2015,0,
Swimming & Diving,25,USA,Male,Jul,1,Blacktip Shark,2015,0,Unprovoked
Swimming & Diving,35,USA,Female,Jul,1,Unknown,2015,0,Invalid
Swimming & Diving,46,AUSTRALIA,Male,Jul,1,Great White Shark,2015,1,Unprovoked
Fishing,31,USA,Male,Jul,1,Shortfin Mako,2015,0,Provoked
Swimming & Diving,40,AUSTRALIA,Male,Jul,1,Bronze Whaler Shark,2015,0,Unprovoked
Swimming & Diving,45,REUNION,Male,Jul,1,Bull Shark,2015,0,Unprovoked
Swimming & Diving,34,SOUTH AFRICA,Male,Jul,1,Great White Shark,2015,0,Unprovoked
Swimming & Diving,38,USA,Male,Jul,1,Great White Shark,2015,0,Unprovoked
Wading,39,USA,Male,Jul,1,Unknown,2015,0,Invalid
Swimming & Diving,,FRENCH POLYNESIA,Male,Jul,1,Unknown,2015,0,Invalid
Fishing,23,BAHAMAS,Female,Jul,1,Others,2015,0,Unprovoked
Others,32,USA,Male,Jul,1,Others,2015,0,Unprovoked
Swimming & Diving,52,AUSTRALIA,Male,Jul,1,Great White Shark,2015,0,Unprovoked
Swimming & Diving,32,AUSTRALIA,Male,Jul,1,Great White Shark,2015,0,Unprovoked
Swimming & Diving,68,USA,Male,Jul,1,Others,2015,0,Unprovoked
Swimming & Diving,,AUSTRALIA,Male,Jun,1,Others,2015,0,Unprovoked
Wading,12,USA,Male,Jun,1,Others,2015,0,Unprovoked
Swimming & Diving,18,USA,Male,Jun,1,Bull Shark,2015,0,Unprovoked
Swimming & Diving,19,SOUTH AFRICA,Male,Jun,1,Great White Shark,2015,0,Unprovoked
Swimming & Diving,,USA,Female,Jun,1,Unknown,2015,0,Invalid
Swimming & Diving,23,SOUTH AFRICA,Male,Jun,1,Great White Shark,2015,0,Unprovoked
Wading,43,USA,Male,Jun,1,Others,2015,0,Unprovoked
Swimming & Diving,19,AUSTRALIA,Male,Jun,1,Wobbegong,2015,0,Provoked
Swimming & Diving,47,USA,Male,Jun,1,Others,2015,0,Unprovoked
Swimming & Diving,6,USA,Male,Jun,1,Tiger Shark,2015,0,Unprovoked
Swimming & Diving,37,AUSTRALIA,Female,Jun,1,Great White Shark,2015,0,Invalid
Wading,9,USA,Male,Jun,1,Others,2015,0,Unprovoked
Fishing,36,PUERTO RICO,Male,Jun,1,Others,2015,0,Unprovoked
Swimming & Diving,10,USA,Male,Jun,1,Others,2015,0,Unprovoked
Wading,16,USA,Male,Jun,1,Bull Shark,2015,0,Unprovoked
Wading,12,USA,Female,Jun,1,Bull Shark,2015,0,Unprovoked
Others,,USA,Female,Jun,1,Shortfin Mako,2015,0,Unprovoked
Swimming & Diving,13,USA,Female,Jun,1,Others,2015,0,Unprovoked
Wading,11,USA,Male,Jun,1,Bull Shark,2015,0,Unprovoked
Fishing,17,USA,Female,Jun,1,Nurse Shark,2015,0,Unprovoked
Swimming & Diving,47,REUNION,Male,Jun,1,Great White Shark,2015,0,Unprovoked
Wading,14,USA,Female,May,1,Others,2015,0,Unprovoked
Wading,19,USA,Female,May,1,Others,2015,0,Unprovoked
Fishing,19,FRENCH POLYNESIA,Male,May,1,Others,2015,0,Unprovoked
Swimming & Diving,13,USA,Female,May,1,Others,2015,0,Unprovoked
Swimming & Diving,18,USA,Male,May,1,Others,2015,0,Unprovoked
Others,30,USA,Male,May,1,Others,2015,0,Unprovoked
Swimming & Diving,50,NEW CALEDONIA,Male,May,1,Great White Shark,2015,1,Unprovoked
Swimming & Diving,,USA,Male,May,1,Others,2015,0,Unprovoked
Swimming & Diving,,AUSTRALIA,Male,May,1,Great White Shark,2015,0,Unprovoked
Swimming & Diving,29,SOUTH AFRICA,Male,May,1,Great White Shark,2015,0,Unprovoked
Swimming & Diving,65,USA,Female,Apr,1,Others,2015,1,Unprovoked
Wading,63,USA,Male,Apr,1,Others,2015,0,Unprovoked
Swimming & Diving,26,AUSTRALIA,Male,Apr,1,Great White Shark,2015,0,Unprovoked
Boating,71,AUSTRALIA,Male,Jun,1,Great White Shark,2015,0,Unprovoked
Fishing,48,USA,Male,Apr,1,Blue Shark,2015,0,Unprovoked
Swimming & Diving,13,REUNION,Male,Apr,1,Bull Shark,2015,1,Unprovoked
Fishing,70,USA,Male,Apr,1,Bull Shark,2015,0,Unprovoked
Swimming & Diving,,AUSTRALIA,Male,Apr,1,Others,2015,0,Unprovoked
Swimming & Diving,43,ITALY,Male,Mar,1,Unknown,2015,1,Invalid
Swimming & Diving,23,BRAZIL,Male,Mar,1,Unknown,2015,0,Invalid
Fishing,36,SOUTH AFRICA,Male,Mar,1,Great White Shark,2015,0,Boat
Swimming & Diving,52,EGYPT,Male,Mar,1,Shortfin Mako,2015,1,Unprovoked
Swimming & Diving,58,USA,Male,Mar,1,Tiger Shark,2015,0,Unprovoked
Fishing,9,FRENCH POLYNESIA,Male,Mar,1,Blacktip Shark,2015,0,Unprovoked
Fishing,,AUSTRALIA,Male,Mar,1,Others,2015,0,Boat
Fishing,36,MEXICO,Male,Mar,1,Others,2015,0,Provoked
Wading,,FRENCH POLYNESIA,Male,Mar,1,Blacktip Shark,2015,0,Unprovoked
Boating,,ATLANTIC OCEAN,Unknown,Feb,1,Great White Shark,2015,0,Boat
Swimming & Diving,22,REUNION,Female,Feb,1,Great White Shark,2015,1,Unprovoked
Swimming & Diving,41,AUSTRALIA,Male,Feb,1,Great White Shark,2015,1,Unprovoked
Swimming & Diving,35,AUSTRALIA,Male,Feb,1,Others,2015,0,Unprovoked
Swimming & Diving,,AUSTRALIA,Male,Feb,1,Others,2015,0,Unprovoked
Boating,57,AUSTRALIA,Male,Jan,1,Bull Shark,2015,0,Boat
Fishing,20,USA,Male,Jan,1,Others,2015,0,Provoked
Swimming & Diving,,AUSTRALIA,Male,Jan,1,Others,2015,0,Unprovoked
Swimming & Diving,24,SOUTH AFRICA,Male,Jan,1,Others,2015,0,Unprovoked
Fishing,,USA,Male,Jan,1,Great White Shark,2015,0,Boat
Swimming & Diving,,AUSTRALIA,Female,Jan,1,Unknown,2015,0,Invalid
Fishing,,AUSTRALIA,Male,Jan,1,Great White Shark,2015,0,Boat
Swimming & Diving,17,AUSTRALIA,Male,Jan,1,Great White Shark,2015,0,Unprovoked
Swimming & Diving,38,USA,Male,Jan,1,Unknown,2015,0,Invalid
Swimming & Diving,34,BAHAMAS,Female,Jan,1,Oceanic Whitetip,2015,0,Unprovoked
Swimming & Diving,15,SOUTH AFRICA,Male,Jan,1,Sand Tiger,2015,0,Unprovoked
Others,12,USA,Male,Jan,1,Others,2015,0,Unprovoked
Swimming & Diving,,AUSTRALIA,Unknown,Dec,1,Others,2014,0,Unprovoked
Fishing,17,AUSTRALIA,Male,Dec,1,Great White Shark,2014,1,Unprovoked
Others,,GREECE,Unknown,Dec,1,Unknown,2014,0,Sea Disaster
Swimming & Diving,,SOUTH AFRICA,Unknown,Dec,1,Unknown,2014,0,Invalid
Swimming & Diving,50,USA,Male,Dec,1,Great White Shark,2014,0,Unprovoked
Fishing,,AUSTRALIA,Male,Dec,1,Great White Shark,2014,0,Provoked
Swimming & Diving,,JAPAN,Male,Dec,1,Mackerel Shark,2014,0,Unprovoked
Fishing,17,AUSTRALIA,Male,Dec,1,Tiger Shark,2014,1,Unprovoked
Fishing,,SPAIN,Male,Dec,1,Others,2014,0,Provoked
Swimming & Diving,13,AUSTRALIA,Male,Nov,1,Others,2014,0,Unprovoked
Fishing,39,MAURITIUS,Male,Nov,1,Others,2014,1,Provoked
Fishing,,AUSTRALIA,Male,Nov,1,Great White Shark,2014,0,Boat
Others,,USA,Unknown,Nov,1,Great White Shark,2014,0,Boat
Swimming & Diving,44,USA,Male,Nov,1,Others,2014,0,Unprovoked
Swimming & Diving,53,USA,Male,Nov,1,Great White Shark,2014,0,Unprovoked
Swimming & Diving,,AUSTRALIA,Male,Nov,1,Others,2014,0,Unprovoked
Swimming & Diving,18,USA,Male,Nov,1,Others,2014,0,Unprovoked
Swimming & Diving,34,USA,Female,Oct,1,Tiger Shark,2014,0,Unprovoked
Swimming & Diving,20,AUSTRALIA,Male,Oct,1,Others,2014,0,Provoked
Swimming & Diving,,USA,Female,Oct,1,Tiger Shark,2014,0,Unprovoked
Swimming & Diving,,USA,Male,Oct,1,Others,2014,0,Unprovoked
